Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.94475,0.9425146557004113,0.9994433104472072,0.9701445490160759
Decision Tree,0.98325,0.9873744355358953,0.9940619781035442,0.9907069212631189
K-Nearest Neighbors,0.90275,0.9023695888805158,0.9999072184078679,0.9486378240394349
